population,Season,MMWR Startdate,MMWR Week,Age Group,Count of Hospitalizations,Pathogen,geo
3065147,2020-2021,2/21/2021,202108,65+,0,Influenza,7-co
3065147,2020-2021,2/28/2021,202109,0-4,0,Influenza,7-co
3065147,2020-2021,2/28/2021,202109,5-17,0,Influenza,7-co
3065147,2020-2021,2/28/2021,202109,18-49,0,Influenza,7-co
3065147,2020-2021,2/28/2021,202109,50-64,0,Influenza,7-co
3065147,2020-2021,2/28/2021,202109,65+,0,Influenza,7-co
3065147,2020-2021,3/7/2021,202110,0-4,0,Influenza,7-co
3065147,2020-2021,3/7/2021,202110,5-17,0,Influenza,7-co
3065147,2020-2021,3/7/2021,202110,18-49,0,Influenza,7-co
3065147,2020-2021,3/7/2021,202110,50-64,0,Influenza,7-co
3065147,2020-2021,3/7/2021,202110,65+,0,Influenza,7-co
3065147,2020-2021,3/14/2021,202111,0-4,0,Influenza,7-co
3065147,2020-2021,3/14/2021,202111,5-17,0,Influenza,7-co
3065147,2020-2021,3/14/2021,202111,18-49,0,Influenza,7-co
3065147,2020-2021,3/14/2021,202111,50-64,0,Influenza,7-co
3065147,2020-2021,3/14/2021,202111,65+,0,Influenza,7-co
3065147,2020-2021,3/21/2021,202112,0-4,0,Influenza,7-co
3065147,2020-2021,3/21/2021,202112,5-17,0,Influenza,7-co
3065147,2020-2021,3/21/2021,202112,18-49,0,Influenza,7-co
3065147,2020-2021,3/21/2021,202112,50-64,0,Influenza,7-co
3065147,2020-2021,3/21/2021,202112,65+,0,Influenza,7-co
3065147,2020-2021,3/28/2021,202113,0-4,0,Influenza,7-co
3065147,2020-2021,3/28/2021,202113,5-17,0,Influenza,7-co
3065147,2020-2021,3/28/2021,202113,18-49,0,Influenza,7-co
3065147,2020-2021,3/28/2021,202113,50-64,0,Influenza,7-co
3065147,2020-2021,3/28/2021,202113,65+,1,Influenza,7-co
3065147,2020-2021,4/4/2021,202114,0-4,0,Influenza,7-co
3065147,2020-2021,4/4/2021,202114,5-17,0,Influenza,7-co
3065147,2020-2021,4/4/2021,202114,18-49,0,Influenza,7-co
3065147,2020-2021,4/4/2021,202114,50-64,0,Influenza,7-co
3065147,2020-2021,4/4/2021,202114,65+,0,Influenza,7-co
3065147,2020-2021,4/11/2021,202115,0-4,0,Influenza,7-co
3065147,2020-2021,4/11/2021,202115,5-17,0,Influenza,7-co
3065147,2020-2021,4/11/2021,202115,18-49,0,Influenza,7-co
3065147,2020-2021,4/11/2021,202115,50-64,0,Influenza,7-co
3065147,2020-2021,4/11/2021,202115,65+,0,Influenza,7-co
3065147,2020-2021,4/18/2021,202116,0-4,0,Influenza,7-co
3065147,2020-2021,4/18/2021,202116,5-17,0,Influenza,7-co
3065147,2020-2021,4/18/2021,202116,18-49,0,Influenza,7-co
3065147,2020-2021,4/18/2021,202116,50-64,0,Influenza,7-co
3065147,2020-2021,4/18/2021,202116,65+,0,Influenza,7-co
3065147,2020-2021,4/25/2021,202117,0-4,0,Influenza,7-co
3065147,2020-2021,4/25/2021,202117,5-17,0,Influenza,7-co
3065147,2020-2021,4/25/2021,202117,18-49,0,Influenza,7-co
3065147,2020-2021,4/25/2021,202117,50-64,0,Influenza,7-co
3065147,2020-2021,4/25/2021,202117,65+,0,Influenza,7-co
3065147,2020-2021,5/2/2021,202118,0-4,0,Influenza,7-co
3065147,2020-2021,5/2/2021,202118,5-17,0,Influenza,7-co
3065147,2020-2021,5/2/2021,202118,18-49,0,Influenza,7-co
3065147,2020-2021,5/2/2021,202118,50-64,0,Influenza,7-co
3065147,2020-2021,5/2/2021,202118,65+,0,Influenza,7-co
3065147,2020-2021,5/9/2021,202119,0-4,0,Influenza,7-co
3065147,2020-2021,5/9/2021,202119,5-17,0,Influenza,7-co
3065147,2020-2021,5/9/2021,202119,18-49,0,Influenza,7-co
3065147,2020-2021,5/9/2021,202119,50-64,0,Influenza,7-co
3065147,2020-2021,5/9/2021,202119,65+,0,Influenza,7-co
3065147,2020-2021,5/16/2021,202120,0-4,0,Influenza,7-co
3065147,2020-2021,5/16/2021,202120,5-17,0,Influenza,7-co
3065147,2020-2021,5/16/2021,202120,18-49,0,Influenza,7-co
3065147,2020-2021,5/16/2021,202120,50-64,0,Influenza,7-co
3065147,2020-2021,5/16/2021,202120,65+,0,Influenza,7-co
3065147,2020-2021,5/23/2021,202121,0-4,0,Influenza,7-co
3065147,2020-2021,5/23/2021,202121,5-17,0,Influenza,7-co
3065147,2020-2021,5/23/2021,202121,18-49,0,Influenza,7-co
3065147,2020-2021,5/23/2021,202121,50-64,0,Influenza,7-co
3065147,2020-2021,5/23/2021,202121,65+,0,Influenza,7-co
3065147,2020-2021,5/30/2021,202122,0-4,0,Influenza,7-co
3065147,2020-2021,5/30/2021,202122,5-17,0,Influenza,7-co
3065147,2020-2021,5/30/2021,202122,18-49,0,Influenza,7-co
3065147,2020-2021,5/30/2021,202122,50-64,0,Influenza,7-co
3065147,2020-2021,5/30/2021,202122,65+,0,Influenza,7-co
3065147,2020-2021,6/6/2021,202123,0-4,0,Influenza,7-co
3065147,2020-2021,6/6/2021,202123,5-17,0,Influenza,7-co
3065147,2020-2021,6/6/2021,202123,18-49,0,Influenza,7-co
3065147,2020-2021,6/6/2021,202123,50-64,0,Influenza,7-co
3065147,2020-2021,6/6/2021,202123,65+,0,Influenza,7-co
3065147,2020-2021,6/13/2021,202124,0-4,0,Influenza,7-co
3065147,2020-2021,6/13/2021,202124,5-17,0,Influenza,7-co
3065147,2020-2021,6/13/2021,202124,18-49,0,Influenza,7-co
3065147,2020-2021,6/13/2021,202124,50-64,0,Influenza,7-co
3065147,2020-2021,6/13/2021,202124,65+,0,Influenza,7-co
3065147,2020-2021,6/20/2021,202125,0-4,0,Influenza,7-co
3065147,2020-2021,6/20/2021,202125,5-17,0,Influenza,7-co
3065147,2020-2021,6/20/2021,202125,18-49,0,Influenza,7-co
3065147,2020-2021,6/20/2021,202125,50-64,0,Influenza,7-co
3065147,2020-2021,6/20/2021,202125,65+,0,Influenza,7-co
3065147,2020-2021,6/27/2021,202126,0-4,0,Influenza,7-co
3065147,2020-2021,6/27/2021,202126,5-17,0,Influenza,7-co
3065147,2020-2021,6/27/2021,202126,18-49,0,Influenza,7-co
3065147,2020-2021,6/27/2021,202126,50-64,0,Influenza,7-co
3065147,2020-2021,6/27/2021,202126,65+,0,Influenza,7-co
3065147,2020-2021,7/4/2021,202127,0-4,0,Influenza,7-co
3065147,2020-2021,7/4/2021,202127,5-17,0,Influenza,7-co
3065147,2020-2021,7/4/2021,202127,18-49,0,Influenza,7-co
3065147,2020-2021,7/4/2021,202127,50-64,0,Influenza,7-co
3065147,2020-2021,7/4/2021,202127,65+,0,Influenza,7-co
3065147,2020-2021,7/11/2021,202128,0-4,0,Influenza,7-co
3065147,2020-2021,7/11/2021,202128,5-17,0,Influenza,7-co
3065147,2020-2021,7/11/2021,202128,18-49,0,Influenza,7-co
3065147,2020-2021,7/11/2021,202128,50-64,0,Influenza,7-co
3065147,2020-2021,7/11/2021,202128,65+,0,Influenza,7-co
3065147,2020-2021,7/18/2021,202129,0-4,0,Influenza,7-co
3065147,2020-2021,7/18/2021,202129,5-17,0,Influenza,7-co
3065147,2020-2021,7/18/2021,202129,18-49,0,Influenza,7-co
3065147,2020-2021,7/18/2021,202129,50-64,0,Influenza,7-co
3065147,2020-2021,7/18/2021,202129,65+,0,Influenza,7-co
3065147,2020-2021,7/25/2021,202130,0-4,0,Influenza,7-co
3065147,2020-2021,7/25/2021,202130,5-17,0,Influenza,7-co
3065147,2020-2021,7/25/2021,202130,18-49,0,Influenza,7-co
3065147,2020-2021,7/25/2021,202130,50-64,0,Influenza,7-co
3065147,2020-2021,7/25/2021,202130,65+,0,Influenza,7-co
3065147,2020-2021,8/1/2021,202131,0-4,0,Influenza,7-co
3065147,2020-2021,8/1/2021,202131,5-17,0,Influenza,7-co
3065147,2020-2021,8/1/2021,202131,18-49,0,Influenza,7-co
3065147,2020-2021,8/1/2021,202131,50-64,0,Influenza,7-co
3065147,2020-2021,8/1/2021,202131,65+,0,Influenza,7-co
3065147,2020-2021,8/8/2021,202132,0-4,0,Influenza,7-co
3065147,2020-2021,8/8/2021,202132,5-17,0,Influenza,7-co
3065147,2020-2021,8/8/2021,202132,18-49,0,Influenza,7-co
3065147,2020-2021,8/8/2021,202132,50-64,0,Influenza,7-co
3065147,2020-2021,8/8/2021,202132,65+,0,Influenza,7-co
3065147,2020-2021,8/15/2021,202133,0-4,0,Influenza,7-co
3065147,2020-2021,8/15/2021,202133,5-17,0,Influenza,7-co
3065147,2020-2021,8/15/2021,202133,18-49,0,Influenza,7-co
3065147,2020-2021,8/15/2021,202133,50-64,0,Influenza,7-co
3065147,2020-2021,8/15/2021,202133,65+,0,Influenza,7-co
3065147,2020-2021,8/22/2021,202134,0-4,0,Influenza,7-co
3065147,2020-2021,8/22/2021,202134,5-17,0,Influenza,7-co
3065147,2020-2021,8/22/2021,202134,18-49,0,Influenza,7-co
3065147,2020-2021,8/22/2021,202134,50-64,0,Influenza,7-co
3065147,2020-2021,8/22/2021,202134,65+,0,Influenza,7-co
3065147,2020-2021,8/29/2021,202135,0-4,0,Influenza,7-co
3065147,2020-2021,8/29/2021,202135,5-17,0,Influenza,7-co
3065147,2020-2021,8/29/2021,202135,18-49,0,Influenza,7-co
3065147,2020-2021,8/29/2021,202135,50-64,0,Influenza,7-co
3065147,2020-2021,8/29/2021,202135,65+,0,Influenza,7-co
3065147,2020-2021,9/5/2021,202136,0-4,0,Influenza,7-co
3065147,2020-2021,9/5/2021,202136,5-17,0,Influenza,7-co
3065147,2020-2021,9/5/2021,202136,18-49,0,Influenza,7-co
3065147,2020-2021,9/5/2021,202136,50-64,0,Influenza,7-co
3065147,2020-2021,9/5/2021,202136,65+,0,Influenza,7-co
3065147,2020-2021,9/12/2021,202137,0-4,0,Influenza,7-co
3065147,2020-2021,9/12/2021,202137,5-17,1,Influenza,7-co
3065147,2020-2021,9/12/2021,202137,18-49,0,Influenza,7-co
3065147,2020-2021,9/12/2021,202137,50-64,0,Influenza,7-co
3065147,2020-2021,9/12/2021,202137,65+,1,Influenza,7-co
3065147,2020-2021,9/19/2021,202138,0-4,1,Influenza,7-co
3065147,2020-2021,9/19/2021,202138,5-17,0,Influenza,7-co
3065147,2020-2021,9/19/2021,202138,18-49,0,Influenza,7-co
3065147,2020-2021,9/19/2021,202138,50-64,0,Influenza,7-co
3065147,2020-2021,9/19/2021,202138,65+,0,Influenza,7-co
3065147,2020-2021,9/26/2021,202139,0-4,2,Influenza,7-co
3065147,2020-2021,9/26/2021,202139,5-17,0,Influenza,7-co
3065147,2020-2021,9/26/2021,202139,18-49,1,Influenza,7-co
3065147,2020-2021,9/26/2021,202139,50-64,0,Influenza,7-co
3065147,2020-2021,9/26/2021,202139,65+,0,Influenza,7-co
3065147,2021-2022,10/3/2021,202140,0-4,0,Influenza,7-co
3065147,2021-2022,10/3/2021,202140,5-17,0,Influenza,7-co
3065147,2021-2022,10/3/2021,202140,18-49,0,Influenza,7-co
3065147,2021-2022,10/3/2021,202140,50-64,0,Influenza,7-co
3065147,2021-2022,10/3/2021,202140,65+,0,Influenza,7-co
3065147,2021-2022,10/10/2021,202141,0-4,0,Influenza,7-co
3065147,2021-2022,10/10/2021,202141,5-17,0,Influenza,7-co
3065147,2021-2022,10/10/2021,202141,18-49,0,Influenza,7-co
3065147,2021-2022,10/10/2021,202141,50-64,0,Influenza,7-co
3065147,2021-2022,10/10/2021,202141,65+,0,Influenza,7-co
3065147,2021-2022,10/17/2021,202142,0-4,1,Influenza,7-co
3065147,2021-2022,10/17/2021,202142,5-17,0,Influenza,7-co
3065147,2021-2022,10/17/2021,202142,18-49,0,Influenza,7-co
3065147,2021-2022,10/17/2021,202142,50-64,0,Influenza,7-co
3065147,2021-2022,10/17/2021,202142,65+,1,Influenza,7-co
3065147,2021-2022,10/24/2021,202143,0-4,1,Influenza,7-co
3065147,2021-2022,10/24/2021,202143,5-17,0,Influenza,7-co
3065147,2021-2022,10/24/2021,202143,18-49,0,Influenza,7-co
3065147,2021-2022,10/24/2021,202143,50-64,0,Influenza,7-co
3065147,2021-2022,10/24/2021,202143,65+,1,Influenza,7-co
3065147,2021-2022,10/31/2021,202144,0-4,0,Influenza,7-co
3065147,2021-2022,10/31/2021,202144,5-17,0,Influenza,7-co
3065147,2021-2022,10/31/2021,202144,18-49,0,Influenza,7-co
3065147,2021-2022,10/31/2021,202144,50-64,0,Influenza,7-co
3065147,2021-2022,10/31/2021,202144,65+,0,Influenza,7-co
3065147,2021-2022,11/7/2021,202145,0-4,1,Influenza,7-co
3065147,2021-2022,11/7/2021,202145,5-17,0,Influenza,7-co
3065147,2021-2022,11/7/2021,202145,18-49,0,Influenza,7-co
3065147,2021-2022,11/7/2021,202145,50-64,0,Influenza,7-co
3065147,2021-2022,11/7/2021,202145,65+,0,Influenza,7-co
3065147,2021-2022,11/14/2021,202146,0-4,2,Influenza,7-co
3065147,2021-2022,11/14/2021,202146,5-17,0,Influenza,7-co
3065147,2021-2022,11/14/2021,202146,18-49,0,Influenza,7-co
3065147,2021-2022,11/14/2021,202146,50-64,0,Influenza,7-co
3065147,2021-2022,11/14/2021,202146,65+,0,Influenza,7-co
3065147,2021-2022,11/21/2021,202147,0-4,0,Influenza,7-co
3065147,2021-2022,11/21/2021,202147,5-17,0,Influenza,7-co
3065147,2021-2022,11/21/2021,202147,18-49,0,Influenza,7-co
3065147,2021-2022,11/21/2021,202147,50-64,1,Influenza,7-co
3065147,2021-2022,11/21/2021,202147,65+,0,Influenza,7-co
3065147,2021-2022,11/28/2021,202148,0-4,0,Influenza,7-co
3065147,2021-2022,11/28/2021,202148,5-17,0,Influenza,7-co
3065147,2021-2022,11/28/2021,202148,18-49,7,Influenza,7-co
3065147,2021-2022,11/28/2021,202148,50-64,0,Influenza,7-co
3065147,2021-2022,11/28/2021,202148,65+,2,Influenza,7-co
3065147,2021-2022,12/5/2021,202149,0-4,0,Influenza,7-co
3065147,2021-2022,12/5/2021,202149,5-17,1,Influenza,7-co
3065147,2021-2022,12/5/2021,202149,18-49,4,Influenza,7-co
3065147,2021-2022,12/5/2021,202149,50-64,3,Influenza,7-co
3065147,2021-2022,12/5/2021,202149,65+,9,Influenza,7-co
3065147,2021-2022,12/12/2021,202150,0-4,2,Influenza,7-co
3065147,2021-2022,12/12/2021,202150,5-17,5,Influenza,7-co
3065147,2021-2022,12/12/2021,202150,18-49,8,Influenza,7-co
3065147,2021-2022,12/12/2021,202150,50-64,4,Influenza,7-co
3065147,2021-2022,12/12/2021,202150,65+,9,Influenza,7-co
3065147,2021-2022,12/19/2021,202151,0-4,6,Influenza,7-co
3065147,2021-2022,12/19/2021,202151,5-17,7,Influenza,7-co
3065147,2021-2022,12/19/2021,202151,18-49,10,Influenza,7-co
3065147,2021-2022,12/19/2021,202151,50-64,11,Influenza,7-co
3065147,2021-2022,12/19/2021,202151,65+,18,Influenza,7-co
3065147,2021-2022,12/26/2021,202152,0-4,4,Influenza,7-co
3065147,2021-2022,12/26/2021,202152,5-17,3,Influenza,7-co
3065147,2021-2022,12/26/2021,202152,18-49,17,Influenza,7-co
3065147,2021-2022,12/26/2021,202152,50-64,2,Influenza,7-co
3065147,2021-2022,12/26/2021,202152,65+,32,Influenza,7-co
3065147,2021-2022,1/2/2022,202201,0-4,4,Influenza,7-co
3065147,2021-2022,1/2/2022,202201,5-17,2,Influenza,7-co
3065147,2021-2022,1/2/2022,202201,18-49,10,Influenza,7-co
3065147,2021-2022,1/2/2022,202201,50-64,3,Influenza,7-co
3065147,2021-2022,1/2/2022,202201,65+,24,Influenza,7-co
3065147,2021-2022,1/9/2022,202202,0-4,0,Influenza,7-co
3065147,2021-2022,1/9/2022,202202,5-17,3,Influenza,7-co
3065147,2021-2022,1/9/2022,202202,18-49,9,Influenza,7-co
3065147,2021-2022,1/9/2022,202202,50-64,5,Influenza,7-co
3065147,2021-2022,1/9/2022,202202,65+,9,Influenza,7-co
3065147,2021-2022,1/16/2022,202203,0-4,1,Influenza,7-co
3065147,2021-2022,1/16/2022,202203,5-17,2,Influenza,7-co
3065147,2021-2022,1/16/2022,202203,18-49,7,Influenza,7-co
3065147,2021-2022,1/16/2022,202203,50-64,4,Influenza,7-co
3065147,2021-2022,1/16/2022,202203,65+,3,Influenza,7-co
3065147,2021-2022,1/23/2022,202204,0-4,1,Influenza,7-co
3065147,2021-2022,1/23/2022,202204,5-17,1,Influenza,7-co
3065147,2021-2022,1/23/2022,202204,18-49,2,Influenza,7-co
3065147,2021-2022,1/23/2022,202204,50-64,3,Influenza,7-co
3065147,2021-2022,1/23/2022,202204,65+,2,Influenza,7-co
3065147,2021-2022,1/30/2022,202205,0-4,2,Influenza,7-co
3065147,2021-2022,1/30/2022,202205,5-17,0,Influenza,7-co
3065147,2021-2022,1/30/2022,202205,18-49,0,Influenza,7-co
3065147,2021-2022,1/30/2022,202205,50-64,1,Influenza,7-co
3065147,2021-2022,1/30/2022,202205,65+,4,Influenza,7-co
3065147,2021-2022,2/6/2022,202206,0-4,0,Influenza,7-co
3065147,2021-2022,2/6/2022,202206,5-17,0,Influenza,7-co
3065147,2021-2022,2/6/2022,202206,18-49,0,Influenza,7-co
3065147,2021-2022,2/6/2022,202206,50-64,3,Influenza,7-co
3065147,2021-2022,2/6/2022,202206,65+,4,Influenza,7-co
3065147,2021-2022,2/13/2022,202207,0-4,2,Influenza,7-co
3065147,2021-2022,2/13/2022,202207,5-17,0,Influenza,7-co
3065147,2021-2022,2/13/2022,202207,18-49,2,Influenza,7-co
3065147,2021-2022,2/13/2022,202207,50-64,1,Influenza,7-co
3065147,2021-2022,2/13/2022,202207,65+,1,Influenza,7-co
3065147,2021-2022,2/20/2022,202208,0-4,0,Influenza,7-co
3065147,2021-2022,2/20/2022,202208,5-17,1,Influenza,7-co
3065147,2021-2022,2/20/2022,202208,18-49,2,Influenza,7-co
3065147,2021-2022,2/20/2022,202208,50-64,0,Influenza,7-co
3065147,2021-2022,2/20/2022,202208,65+,0,Influenza,7-co
3065147,2021-2022,2/27/2022,202209,0-4,0,Influenza,7-co
3065147,2021-2022,2/27/2022,202209,5-17,0,Influenza,7-co
3065147,2021-2022,2/27/2022,202209,18-49,1,Influenza,7-co
3065147,2021-2022,2/27/2022,202209,50-64,0,Influenza,7-co
3065147,2021-2022,2/27/2022,202209,65+,7,Influenza,7-co
3065147,2021-2022,3/6/2022,202210,0-4,0,Influenza,7-co
3065147,2021-2022,3/6/2022,202210,5-17,1,Influenza,7-co
3065147,2021-2022,3/6/2022,202210,18-49,3,Influenza,7-co
3065147,2021-2022,3/6/2022,202210,50-64,1,Influenza,7-co
3065147,2021-2022,3/6/2022,202210,65+,3,Influenza,7-co
3065147,2021-2022,3/13/2022,202211,0-4,0,Influenza,7-co
3065147,2021-2022,3/13/2022,202211,5-17,1,Influenza,7-co
3065147,2021-2022,3/13/2022,202211,18-49,3,Influenza,7-co
3065147,2021-2022,3/13/2022,202211,50-64,3,Influenza,7-co
3065147,2021-2022,3/13/2022,202211,65+,5,Influenza,7-co
3065147,2021-2022,3/20/2022,202212,0-4,1,Influenza,7-co
3065147,2021-2022,3/20/2022,202212,5-17,2,Influenza,7-co
3065147,2021-2022,3/20/2022,202212,18-49,3,Influenza,7-co
3065147,2021-2022,3/20/2022,202212,50-64,2,Influenza,7-co
3065147,2021-2022,3/20/2022,202212,65+,8,Influenza,7-co
3065147,2021-2022,3/27/2022,202213,0-4,3,Influenza,7-co
3065147,2021-2022,3/27/2022,202213,5-17,1,Influenza,7-co
3065147,2021-2022,3/27/2022,202213,18-49,2,Influenza,7-co
3065147,2021-2022,3/27/2022,202213,50-64,3,Influenza,7-co
3065147,2021-2022,3/27/2022,202213,65+,4,Influenza,7-co
3065147,2021-2022,4/3/2022,202214,0-4,1,Influenza,7-co
3065147,2021-2022,4/3/2022,202214,5-17,1,Influenza,7-co
3065147,2021-2022,4/3/2022,202214,18-49,2,Influenza,7-co
3065147,2021-2022,4/3/2022,202214,50-64,3,Influenza,7-co
3065147,2021-2022,4/3/2022,202214,65+,1,Influenza,7-co
3065147,2021-2022,4/10/2022,202215,0-4,1,Influenza,7-co
3065147,2021-2022,4/10/2022,202215,5-17,3,Influenza,7-co
3065147,2021-2022,4/10/2022,202215,18-49,2,Influenza,7-co
3065147,2021-2022,4/10/2022,202215,50-64,3,Influenza,7-co
3065147,2021-2022,4/10/2022,202215,65+,7,Influenza,7-co
3065147,2021-2022,4/17/2022,202216,0-4,2,Influenza,7-co
3065147,2021-2022,4/17/2022,202216,5-17,3,Influenza,7-co
3065147,2021-2022,4/17/2022,202216,18-49,5,Influenza,7-co
3065147,2021-2022,4/17/2022,202216,50-64,6,Influenza,7-co
3065147,2021-2022,4/17/2022,202216,65+,6,Influenza,7-co
3065147,2021-2022,4/24/2022,202217,0-4,2,Influenza,7-co
3065147,2021-2022,4/24/2022,202217,5-17,3,Influenza,7-co
3065147,2021-2022,4/24/2022,202217,18-49,7,Influenza,7-co
3065147,2021-2022,4/24/2022,202217,50-64,3,Influenza,7-co
3065147,2021-2022,4/24/2022,202217,65+,12,Influenza,7-co
3065147,2021-2022,5/1/2022,202218,0-4,5,Influenza,7-co
3065147,2021-2022,5/1/2022,202218,5-17,2,Influenza,7-co
3065147,2021-2022,5/1/2022,202218,18-49,5,Influenza,7-co
3065147,2021-2022,5/1/2022,202218,50-64,5,Influenza,7-co
3065147,2021-2022,5/1/2022,202218,65+,6,Influenza,7-co
3065147,2021-2022,5/8/2022,202219,0-4,0,Influenza,7-co
3065147,2021-2022,5/8/2022,202219,5-17,2,Influenza,7-co
3065147,2021-2022,5/8/2022,202219,18-49,5,Influenza,7-co
3065147,2021-2022,5/8/2022,202219,50-64,3,Influenza,7-co
3065147,2021-2022,5/8/2022,202219,65+,5,Influenza,7-co
3065147,2021-2022,5/15/2022,202220,0-4,0,Influenza,7-co
3065147,2021-2022,5/15/2022,202220,5-17,0,Influenza,7-co
3065147,2021-2022,5/15/2022,202220,18-49,0,Influenza,7-co
3065147,2021-2022,5/15/2022,202220,50-64,1,Influenza,7-co
3065147,2021-2022,5/15/2022,202220,65+,6,Influenza,7-co
3065147,2021-2022,5/22/2022,202221,0-4,3,Influenza,7-co
3065147,2021-2022,5/22/2022,202221,5-17,0,Influenza,7-co
3065147,2021-2022,5/22/2022,202221,18-49,2,Influenza,7-co
3065147,2021-2022,5/22/2022,202221,50-64,4,Influenza,7-co
3065147,2021-2022,5/22/2022,202221,65+,2,Influenza,7-co
3065147,2021-2022,5/29/2022,202222,0-4,0,Influenza,7-co
3065147,2021-2022,5/29/2022,202222,5-17,1,Influenza,7-co
3065147,2021-2022,5/29/2022,202222,18-49,0,Influenza,7-co
3065147,2021-2022,5/29/2022,202222,50-64,1,Influenza,7-co
3065147,2021-2022,5/29/2022,202222,65+,2,Influenza,7-co
3065147,2021-2022,6/5/2022,202223,0-4,0,Influenza,7-co
3065147,2021-2022,6/5/2022,202223,5-17,0,Influenza,7-co
3065147,2021-2022,6/5/2022,202223,18-49,0,Influenza,7-co
3065147,2021-2022,6/5/2022,202223,50-64,2,Influenza,7-co
3065147,2021-2022,6/5/2022,202223,65+,3,Influenza,7-co
3065147,2021-2022,6/12/2022,202224,0-4,0,Influenza,7-co
3065147,2021-2022,6/12/2022,202224,5-17,0,Influenza,7-co
3065147,2021-2022,6/12/2022,202224,18-49,0,Influenza,7-co
3065147,2021-2022,6/12/2022,202224,50-64,1,Influenza,7-co
3065147,2021-2022,6/12/2022,202224,65+,1,Influenza,7-co
3065147,2021-2022,6/19/2022,202225,0-4,1,Influenza,7-co
3065147,2021-2022,6/19/2022,202225,5-17,0,Influenza,7-co
3065147,2021-2022,6/19/2022,202225,18-49,0,Influenza,7-co
3065147,2021-2022,6/19/2022,202225,50-64,0,Influenza,7-co
3065147,2021-2022,6/19/2022,202225,65+,0,Influenza,7-co
3065147,2021-2022,6/26/2022,202226,0-4,0,Influenza,7-co
3065147,2021-2022,6/26/2022,202226,5-17,0,Influenza,7-co
3065147,2021-2022,6/26/2022,202226,18-49,0,Influenza,7-co
3065147,2021-2022,6/26/2022,202226,50-64,0,Influenza,7-co
3065147,2021-2022,6/26/2022,202226,65+,1,Influenza,7-co
3065147,2021-2022,7/3/2022,202227,0-4,0,Influenza,7-co
3065147,2021-2022,7/3/2022,202227,5-17,0,Influenza,7-co
3065147,2021-2022,7/3/2022,202227,18-49,0,Influenza,7-co
3065147,2021-2022,7/3/2022,202227,50-64,0,Influenza,7-co
3065147,2021-2022,7/3/2022,202227,65+,0,Influenza,7-co
3065147,2021-2022,7/10/2022,202228,0-4,0,Influenza,7-co
3065147,2021-2022,7/10/2022,202228,5-17,0,Influenza,7-co
3065147,2021-2022,7/10/2022,202228,18-49,2,Influenza,7-co
3065147,2021-2022,7/10/2022,202228,50-64,1,Influenza,7-co
